,Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Episode Title,Anchor,Industry,Business Description,Company Website,Started in,Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,EBITDA,Cash Burn,SKUs,Has Patents,Bootstrapped,Part of Match off,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of Sharks in Deal,Deal Has Conditions,Royalty Percentage,Royalty Recouped Amount,Advisory Shares Equity,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ritesh Investment Amount,Ritesh Investment Equity,Ritesh Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Ritesh Present,Amit Present,Guest Present,Ashneer Present,Azhar Present,Ghazal Present,Deepinder Present,Radhika Present,Vikas Present,Ronnie Present,Varun Present,Namita Deal,Vineeta Deal,Anupam Deal,Aman Deal,peyush Deal,Ritesh Deal,Amit Deal,Ashneer Deal,Azhar Deal,Ghazal Deal,Deepinder Deal,Radhika Deal,Vikas Deal,Ronnie Deal,Varun Deal,deal_amount_per_shark,equity_per_shark
0,1,BluePineFoods,1,1,20 Dec 2021,04 Feb 2022,20 Dec 2021,Badlegi Business Ki Tasveer,Rannvijay Singh,Food and Beverage,Frozen Momos,https://bluepinefoods.com/,2016.0,3,2.0,1.0,,0,Middle,Delhi,Delhi,95.0,8.0,,,,,,,,,50.0,5.0,1000.0,1,1,75.0,16.0,,,469.0,3,,,,,,,,25.0,5.33,,,,,25.0,5.33,,,,,,,,,,,25.0,5.33,,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,25.0,5.333333333333333
1,1,BoozScooters,1,2,20 Dec 2021,04 Feb 2022,20 Dec 2021,Badlegi Business Ki Tasveer,Rannvijay Singh,Vehicles/Electrical Vehicles,Renting e-bike for mobility in private spaces,https://www.boozup.net/,2017.0,1,1.0,,,0,Young,Ahmedabad,Gujarat,4.0,0.4,,,,,,,,,40.0,15.0,267.0,1,1,40.0,50.0,,,80.0,2,,,,,,,,20.0,25.0,,,,,,,,,,,,,,,,,20.0,25.0,,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,20.0,25.0
2,1,HeartUpMySleeves,1,3,20 Dec 2021,04 Feb 2022,20 Dec 2021,Badlegi Business Ki Tasveer,Rannvijay Singh,Beauty/Fashion,Detachable Sleeves,https://heartupmysleeves.com/,2021.0,1,,1.0,,0,Young,Delhi,Delhi,,2.0,,,,,,,,,25.0,10.0,250.0,1,1,25.0,30.0,,,83.0,2,,,,,,,,12.5,15.0,,12.5,15.0,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12.5,15.0
3,1,TagzFoods,2,4,20 Dec 2021,04 Feb 2022,21 Dec 2021,"Insaan, Ideas Aur Sapne",Rannvijay Singh,Food and Beverage,Healthy Potato Chips Snacks,https://tagzfoods.com/,2019.0,2,2.0,,,0,Middle,Bangalore,Karnataka,700.0,,48.0,,,,,,,,70.0,1.0,7000.0,1,1,70.0,2.75,,,2545.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,2.75,,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,70.0,2.75
4,1,HeadAndHeart,2,5,20 Dec 2021,04 Feb 2022,21 Dec 2021,"Insaan, Ideas Aur Sapne",Rannvijay Singh,Children/Education,Brain Development Course,https://thehnh.in/,2015.0,4,1.0,3.0,,1,Middle,Patiala,Punjab,30.0,,,,,,,,,,50.0,5.0,1000.0,0,0,0.0,0.0,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5,1,Agritourism,2,6,20 Dec 2021,04 Feb 2022,21 Dec 2021,"Insaan, Ideas Aur Sapne",Rannvijay Singh,Agriculture,Tourism,https://www.agritourism.in/,2005.0,2,1.0,1.0,,1,Middle,Baramati,Maharashtra,79.0,,,,,,,,,,50.0,5.0,1000.0,0,0,0.0,0.0,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
6,1,qZenseLabs,3,7,20 Dec 2021,04 Feb 2022,22 Dec 2021,Aam Aadmi Ke Business Ideas,Rannvijay Singh,Food and Beverage,Food Freshness Detector,https://www.qzense.com/,2020.0,2,,2.0,,0,Middle,"Delhi,Mohali","Delhi,Punjab",25.0,15.0,,,,,,yes,,,100.0,0.25,40000.0,1,0,0.0,0.0,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
7,1,Peeschute,3,8,20 Dec 2021,04 Feb 2022,22 Dec 2021,Aam Aadmi Ke Business Ideas,Rannvijay Singh,Beauty/Fashion,Disposable Urine Bag,https://www.peeschute.com/,2019.0,1,1.0,,,0,Young,Jalna,Maharashtra,100.0,,,,,,2.0,,,,75.0,4.0,1875.0,1,1,75.0,6.0,,,1250.0,1,,,,,,,,,,,,,,75.0,6.0,,,,,,,,,,,,,,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,75.0,6.0
8,1,NOCD,3,9,20 Dec 2021,04 Feb 2022,22 Dec 2021,Aam Aadmi Ke Business Ideas,Rannvijay Singh,Food and Beverage,Energy Drink,https://www.jouleshealth.com/,2019.0,2,2.0,,,0,Middle,Bangalore,Karnataka,,20.0,,,,,,,,,50.0,2.0,2500.0,1,1,20.0,15.0,30.0,,133.0,1,yes,,,,,,,20.0,15.0,30.0,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,15.0
9,1,CosIQ,4,10,20 Dec 2021,04 Feb 2022,23 Dec 2021,Entrepreneurship Ki Wave,Rannvijay Singh,Beauty/Fashion,Intelligent Skincare,https://mycosiq.com/,2021.0,2,1.0,1.0,,1,Middle,Delhi,Delhi,0.0,4.0,75.0,20.0,,,8.0,,,,50.0,7.5,667.0,1,1,50.0,25.0,,,200.0,2,,,,,,,,25.0,12.5,,25.0,12.5,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,12.5
10,1,JhaJiAchaar,4,11,20 Dec 2021,04 Feb 2022,23 Dec 2021,Entrepreneurship Ki Wave,Rannvijay Singh,Food and Beverage,Pickle,https://www.jhajistore.com/,2021.0,2,,2.0,,0,Old,Darbhanga,Bihar,,5.0,18.0,,,,,,,,50.0,10.0,500.0,1,1,56.6,5.62,,,1007.0,2,,,,,28.3,2.81,,28.3,2.81,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3,2.81
11,1,Bummer,4,12,20 Dec 2021,04 Feb 2022,23 Dec 2021,Entrepreneurship Ki Wave,Rannvijay Singh,Beauty/Fashion,Underwear,https://bummer.in/,2020.0,1,1.0,,,0,Young,Ahmedabad,Gujarat,36.0,15.0,70.0,,,,,,,,75.0,4.0,1875.0,1,1,75.0,7.5,,,1000.0,2,,,,,37.5,3.75,,,,,,,,37.5,3.75,,,,,,,,,,,,,,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37.5,3.75
